Sample Code,Bone Part,Unit,Sector,Depth (cm),Ceramic Phase,Burial,Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAL1005,Long bone,1,203/104,290-300,2,1005,80,6.2,43.0,2.5,-9.5,-9.4,-9.5,-9.5,0.0,16.0,1.0,9.1,9.0,9.0,9.0,0.0,3.1,3,2
SAL1001,Long bone,1,206/106,130-140,2,1001,50,3.6,5.2,0.9,-12.3,-11.8,-12.1,-12.1,0.2,1.7,0.3,8.0,7.9,7.9,7.9,0.0,3.5,3,2
SAL919,Rib,9,96/202,170-180,2,919,32,6.4,39.9,0.1,-10.6,-10.6,-10.5,-10.6,0.0,14.6,0.1,7.8,7.8,7.8,7.8,0.0,3.2,3,1
SAL2049,Rib,2,8/B-C,270-290,2,2049,14,3.5,40.6,0.4,-9.6,-9.6,-9.6,-9.6,0.0,14.7,0.2,8.6,8.6,8.6,8.6,0.0,3.2,3,2
SAL2053,Skull,2,2/A,280-290,2,2053,38,4.6,34.8,1.2,-11.6,-11.6,-11.5,-11.6,0.0,12.8,0.5,11.1,11.0,11.1,11.1,0.0,3.2,3,2
SAL2059,Rib,2,Z2/A2,282-292,2,2059,57,5.5,34.5,1.4,-12.0,-12.1,-11.9,-12.0,0.1,12.7,0.6,8.0,8.0,8.0,8.0,0.0,3.2,3,2
SAL2063,Long bone,2,3/C,300,2,2063,6,1.5,39.5,1.5,-8.2,-8.2,-8.1,-8.2,0.1,14.0,0.6,12.8,12.8,12.8,12.8,0.0,3.3,3,2
SAL2066,Skull,2,6B,300-310,2,2066,36,4.6,40.3,0.4,-9.8,-9.8,-9.7,-9.7,0.0,14.7,0.1,11.5,11.5,11.4,11.5,0.0,3.2,3,2
SAL2067,Rib,2,7E,300,2,2067,29,5.0,38.6,2.1,-7.0,-6.9,-6.9,-6.9,0.1,14.2,0.8,10.2,10.1,10.2,10.1,0.0,3.2,3,2
SAL7007,Long bone,7,92/193,190-200,2,7007,27,5.5,40.1,2.6,-12.1,-12.1,-12.0,-12.1,0.0,14.7,1.1,9.6,9.5,9.5,9.5,0.0,3.2,3,2
SAL26,Long bone,1,205-206/101,130-140,3,26,81,11.6,43.1,1.4,-12.8,-13.5,-12.8,-13.0,0.2,15.7,0.6,7.3,7.4,7.4,7.3,0.0,3.2,3,1
SAL41,Phalange,1,210/105,150-160,3,R41,33,6.3,34.6,3.2,-13.1,-13.1,-13.0,-13.1,0.1,12.7,1.2,7.5,7.4,7.5,7.5,0.0,3.2,3,2
SAL910,Skull,9,202/97-203/97,160-170,3,910,33,4.3,39.1,2.2,-8.7,-8.7,-8.6,-8.7,0.0,14.3,0.8,9.8,9.8,9.8,9.8,0.0,3.2,3,2
SAL911,Skull,9,202/96,160-170,3,911,20,3.3,36.9,0.3,-11.9,-11.9,-11.9,-11.9,0.0,13.2,0.0,11.3,11.4,11.4,11.4,0.0,3.3,3,2
SAL912,Skull,9,88/333,60-90,3,912,18,2.2,26.2,0.8,-14.5,-14.5,-14.4,-14.4,0.0,9.6,0.3,5.0,4.9,4.9,4.9,0.0,3.2,3,2
SAL916,Skull,9,207/97,200-210,3,916,14,2.8,35.4,1.0,-12.0,-12.2,-12.2,-12.1,0.1,12.5,0.4,11.3,11.4,11.4,11.3,0.0,3.3,3,1
SAL917,Long bone,9,98/209,200-210,3,917,11,5.5,39.3,0.9,-11.6,-11.6,-11.8,-11.7,0.1,14.3,0.4,10.3,10.4,10.4,10.4,0.0,3.2,3,1
SAL927,Skull,9,205/96,210-220,3,927,27,3.4,38.0,0.2,-11.4,-11.3,-11.3,-11.3,0.1,13.7,0.1,7.7,7.7,7.7,7.7,0.0,3.2,3,1
SAL928,Skull,9,204/95,210-220,3,928,35,7.0,39.5,0.8,-11.7,-11.8,-11.6,-11.7,0.1,14.3,0.4,7.8,7.9,7.9,7.9,0.1,3.2,3,1
SAL231,Fibula,2,3A,180-190,3,231,129,11.7,42.3,1.1,-12.7,-12.7,-12.8,-12.7,0.0,15.7,0.3,7.9,8.0,7.9,8.0,0.1,3.1,3,1
SAL935,Skull,9,206/95,220-230,3,935,30,6.0,43.1,2.5,-12.1,-12.2,-12.2,-12.1,0.0,15.7,0.9,7.8,7.8,7.8,7.8,0.0,3.2,3,1
SAL1002,Long bone,1,105/210,,3,1002,38,9.5,24.0,2.7,-13.0,-,-13.1,-13.0,0.0,8.6,1.0,8.0,-,7.9,7.9,0.1,3.3,2,1
SAL1121,Jaw,10,201/109,140-150,3,1121,21,3.5,37.7,1.2,-10.9,-10.8,-10.8,-10.8,0.1,13.7,0.5,9.3,9.4,9.3,9.3,0.0,3.2,3,1
SAL506,Rib,5,215/105,160-190,3,506,25,4.9,39.9,1.7,-12.2,-12.7,-12.6,-12.5,0.2,14.5,0.6,8.0,7.7,7.7,7.8,0.2,3.2,3,2
SAL217,Long bone,2,1A,165-170,3,217,18,2.2,15.5,1.4,-13.9,-14.1,-14.1,-14.0,0.1,5.3,0.5,9.3,9.0,9.2,9.2,0.2,3.4,3,2
SAL236,Long bone,2,7D,-,3,236,40,4.6,29.5,1.4,-11.6,-11.5,-11.4,-11.5,0.1,10.8,0.1,8.4,8.3,8.3,8.3,0.0,3.2,3,2
SAL237,Long bone,2,4-6_56,210-220,3,237,51,3.9,17.3,3.3,-10.7,-10.6,-10.6,-10.6,0.0,6.3,1.2,8.4,8.3,8.3,8.3,0.1,3.2,3,1
SAL238,Long bone,2,2C-3C,210-220,3,238,30,3.7,37.7,0.7,-13.8,-13.9,-13.8,-13.8,0.1,13.6,0.4,6.8,7.0,6.8,6.8,0.1,3.2,3,1
SAL238/2,Long bone,2,-,-,3,238/2,45,6.4,28.8,1.2,-13.9,-14.0,-13.9,-13.9,0.0,10.4,0.5,6.7,6.6,6.6,6.7,0.0,3.2,3,1
SAL230,Rib,2,2E,190-200,3,230,40,3.2,22.2,1.7,-12.9,-13.1,-12.9,-13.0,0.1,8.0,0.6,10.9,11.0,10.9,10.9,0.0,3.2,3,2
SAL931,Pelvis,9,204/94-205/95,220-230,3,931,16,8.0,37.7,1.0,-13.4,-13.4,-13.4,-13.4,0.0,13.5,0.4,9.4,9.3,9.4,9.4,0.1,3.3,3,1
SAL2104,Skull,2,Z5,210-220,3,2104,55,3.8,31.1,0.8,-13.0,-13.0,-12.9,-13.0,0.1,11.5,0.4,8.3,8.2,8.1,8.2,0.1,3.2,3,2
SAL4098,Rib,4,-,330-340,3,4098,30,3.9,32.4,0.4,-10.1,-10.2,-10.1,-10.1,0.1,11.9,0.1,10.0,10.0,10.0,10.0,0.0,3.2,3,2
SAL10,Long bone,1,208/104,100-110,4,10,33,3.0,26.7,1.3,-12.7,-12.8,-12.8,-12.7,0.1,9.5,0.4,8.3,8.2,8.5,8.3,0.1,3.3,3,1
SAL15A,Long bone,1,204-205/102,110-120,4,15A,19,2.1,8.8,1.1,-12.9,-12.8,-12.9,-12.9,0.0,2.9,0.3,7.7,7.9,7.5,7.7,0.2,3.5,3,1
SAL15B,Long bone,1,204-205/101-102,110-130,4,15B,91,10.1,42.5,3.2,-12.7,-12.6,-12.5,-12.6,0.1,15.7,1.2,7.5,7.5,7.4,7.5,0.0,3.2,3,1
SAL18,Long bone,1,209/101-102,110-150,4,18,45,5.6,8.4,0.2,-14.9,-15.2,-14.9,-15.0,0.2,2.7,0.1,8.5,8.4,8.6,8.5,0.1,3.6,3,1
SAL204,Skull,2,4A,130-140,4,204,55,5.0,24.2,0.3,-14.7,-14.7,-14.7,-14.7,0.0,8.7,0.2,8.5,8.5,8.5,8.5,0.0,3.2,3,1
SAL218,Rib,2,7D,-,4,218,29,5.8,39.5,4.0,-11.0,-10.9,-11.0,-11.0,0.0,14.3,1.4,9.4,9.4,9.4,9.4,0.0,3.2,3,1
SAL223A,Rib,2,1C,160-170,4,223A,16,3.7,34.8,1.0,-11.6,-11.5,-11.5,-11.5,0.0,12.6,0.4,11.1,11.1,11.1,11.1,0.0,3.2,3,2
SAL223B,Rib,2,1C,160-170,4,223B,11,2.4,21.8,0.7,-12.0,-12.0,-12.0,-12.0,0.0,7.7,0.2,11.7,11.6,11.7,11.7,0.0,3.3,3,2
SAL224,Femur,2,8D,155,4,224,36,4.5,41.3,2.2,-13.4,-13.4,-13.3,-13.4,0.0,15.0,0.9,8.0,8.0,8.1,8.0,0.0,3.2,3,1
SAL225,Rib,2,2a,160,4,225,22,4.4,40.0,1.1,-15.6,-15.8,-15.7,-15.7,0.1,14.2,0.3,8.6,8.6,8.6,8.6,0.0,3.3,3,1
SAL1154,Phalange,10,209/113,260-270,4,1154,23,2.9,33.8,1.8,-10.7,-10.7,-10.7,-10.7,0.0,12.3,0.7,8.9,8.9,9.0,8.9,0.0,3.2,3,1
SAL1213,Vertebrae,12,87/334,60-90,4,1213,23,5.7,42.5,4.3,-13.1,-13.1,-13.0,-13.0,0.0,15.5,1.5,9.5,9.5,9.6,9.5,0.1,3.2,3,1
SAL1220,Skull,9,88/333,60-90,4,1220,42,5.4,39.1,1.3,-12.5,-12.4,-12.4,-12.4,0.1,14.4,0.5,10.3,10.3,10.2,10.2,0.0,3.2,3,2
SAL97,Rib,9,203/98,150-160,4/5,97,52,6.6,32.6,1.8,-13.3,-13.3,-13.2,-13.3,0.1,11.9,0.7,8.6,8.5,8.6,8.6,0.1,3.2,3,2
SAL209,Long bone,2,8C,-,5,209,30,3.8,28.2,1.0,-14.1,-14.1,-14.3,-14.2,0.1,10.0,0.5,7.3,7.3,7.4,7.3,0.0,3.3,3,2
SAL213,Long bone,2,1A,-,5,213,31,3.9,31.6,1.5,-11.5,-11.5,-11.4,-11.4,0.1,11.5,0.5,8.8,9.0,8.9,8.9,0.1,3.2,3,1
SAL1209,Skull,12,88/332-333,50-70,5,1209,53,5.3,33.9,0.0,-,-,-13.3,-13.3,0.0,12.4,0.0,-,-,8.2,8.2,0.0,3.2,1,1
SAL1218a,Rib,2,1D,-,5,1218,7,3.5,43.4,2.5,-9.7,-9.7,-9.5,-9.6,0.1,15.3,0.9,3.6,3.6,3.6,3.6,0.0,3.3,3,1
SAL1218b,Long bone,12,86/334,60-70,5,1218,20,6.7,41.8,0.9,-14.1,-14.0,-13.9,-14.0,0.1,15.0,0.4,8.7,8.7,8.8,8.7,0.1,3.2,3,1
SAL4028a,Rib,4,A21,230-240,5,4028a,23,3.3,16.4,1.4,-13.2,-13.4,-13.4,-13.3,0.1,5.7,0.5,8.7,8.7,8.7,8.7,0.0,3.4,3,1
SAL4200,Skull,4,Y24,240-250,5,4200,73,6.1,12.9,1.0,-14.1,-14.3,-13.9,-14.1,0.2,4.3,0.4,8.9,8.5,8.7,8.7,0.2,3.5,3,1
SAL1214,Long bone,12,84/334,60-70,5?,1214,81,11.6,43.6,0.2,-13.3,-13.2,-13.1,-13.2,0.1,15.8,0.2,11.6,11.6,11.7,11.6,0.0,3.2,3,1
SAL6003,Long bone,6,199/97,110-120,-,6003,49,4.9,19.6,0.3,-13.2,-13.3,-13.2,-13.2,0.1,7.0,0.1,8.5,8.4,8.4,8.4,0.0,3.3,3,1
SAL6005,Long bone,6,199/96,110-130,-,6005,15,1.6,32.9,2.5,-12.9,-12.9,-12.8,-12.9,0.0,12.0,0.9,9.0,8.9,8.9,8.9,0.0,3.2,3,2
SAL6006,Skull,6,197-198/98,120-130,-,6006,23,3.8,41.1,1.1,-12.8,-12.7,-13.0,-12.8,0.1,14.7,0.3,10.7,10.7,10.7,10.7,0.0,3.3,3,1
SAL6007,Long bone,6,-,120-130,-,6007,13,2.4,36.9,2.7,-13.3,-13.3,-13.3,-13.3,0.0,13.2,1.1,9.4,9.4,9.4,9.4,0.0,3.3,3,2
SAL6014,Long bone,6,195/98,120-130,-,6014,8,2.7,34.2,4.1,-14.0,-14.0,-14.0,-14.0,0.1,11.4,1.3,8.2,8.4,8.4,8.3,0.1,3.5,3,2
SAL6021,Long bone,6,196/98-97,140-150,-,6021,24,4.0,41.7,1.3,-13.4,-13.5,-13.6,-13.5,0.1,15.2,0.5,9.8,9.8,9.8,9.8,0.0,3.2,3,1
SAL6022,Rib,6,198/97,140-150,-,5022,30,3.3,24.3,0.6,-10.8,-10.8,-10.9,-10.8,0.0,8.5,0.2,10.7,10.8,10.8,10.7,0.0,3.3,3,1
SAL6023,Long bone,6,-,140-150,-,6023,37,5.9,39.7,1.3,-14.4,-14.4,-14.3,-14.3,0.0,14.5,0.6,9.3,9.3,9.3,9.3,0.0,3.2,3,2
Mean ,N=63,,,,,,,,,,,,,-12.3,,,,,,,9.0,,,,
1?,,,,,,,,,,,,,,1.7,,,,,,,1.7,,,,
Range,,,,,,,,,,,,,,8.8,,,,,,,9.2,,,,
Median,,,,,,,,,,,,,,-12.7,,,,,,,8.7,,,,
IQR,,,,,,,,,,,,,,1.8,,,,,,,2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
